disruption_id,role_id,industry_id,year,automation_risk_score,ai_replacement_index,future_safe_score
1,1,1,2018,24.97,20.44,75.2
2,1,1,2019,21.81,19.6,79.63
3,1,1,2020,23.76,21.7,77.31
4,1,1,2021,26.31,25.68,73.71
5,1,1,2022,29.31,28.8,70.43
6,1,1,2023,29.55,27.62,70.84
7,1,1,2024,30.95,29.04,68.2
8,1,2,2018,26.4,27.96,72.3
9,1,2,2019,22.71,23.99,76.87
10,1,2,2020,26.7,29.66,74.52
11,1,2,2021,23.04,22.29,75.79
12,1,2,2022,24.85,29.31,74.69
13,1,2,2023,31.23,30.64,69.42
14,1,2,2024,28.32,29.04,72.11
15,1,3,2018,18.97,20.08,81.99
16,1,3,2019,25.19,23.32,74.07
17,1,3,2020,26.45,28.11,72.08
18,1,3,2021,21.3,19.53,79.61
19,1,3,2022,25.39,24.22,74.24
20,1,3,2023,29.76,28.81,70.42
21,1,3,2024,25.49,22.61,75.75
22,1,4,2018,19.01,18.16,80.79
23,1,4,2019,19.14,20.25,79.61
24,1,4,2020,18.32,17.15,81.64
25,1,4,2021,21.09,16.29,79.77
26,1,4,2022,23.69,26.66,76.56
27,1,4,2023,25.97,23.75,73.05
28,1,4,2024,23.84,21.65,75.13
29,1,5,2018,20.47,15.04,80.41
30,1,5,2019,23.66,24.92,76.78
31,1,5,2020,24.2,24.54,75.46
32,1,5,2021,22.74,20.18,75.91
33,1,5,2022,23.16,19.54,76.58
34,1,5,2023,26.32,29.12,72.65
35,1,5,2024,28.8,30.51,72.36
36,1,6,2018,20.73,21.23,79.6
37,1,6,2019,24.59,26.96,76.83
38,1,6,2020,21.6,22.82,77.1
39,1,6,2021,26.39,24.34,73.0
40,1,6,2022,26.16,28.56,72.52
41,1,6,2023,27.9,26.5,72.29
42,1,6,2024,29.7,31.06,70.7
43,1,7,2018,19.28,19.1,80.26
44,1,7,2019,20.23,22.7,78.67
45,1,7,2020,25.76,23.25,75.02
46,1,7,2021,23.41,19.39,77.11
47,1,7,2022,29.3,27.84,70.92
48,1,7,2023,27.4,23.54,73.64
49,1,7,2024,26.4,23.69,72.57
50,1,8,2018,18.62,18.76,81.52
51,1,8,2019,21.31,20.7,78.17
52,1,8,2020,19.71,17.73,79.7
53,1,8,2021,25.33,28.75,74.79
54,1,8,2022,22.27,22.93,78.9
55,1,8,2023,27.15,24.12,72.86
56,1,8,2024,28.09,24.54,72.51
57,1,9,2018,20.79,21.91,80.44
58,1,9,2019,21.28,21.67,78.9
59,1,9,2020,24.44,23.4,75.89
60,1,9,2021,18.36,17.19,80.38
61,1,9,2022,21.34,23.03,80.02
62,1,9,2023,28.58,23.64,72.11
63,1,9,2024,26.89,24.21,73.31
64,1,10,2018,23.97,23.24,76.87
65,1,10,2019,21.41,22.04,77.09
66,1,10,2020,20.56,16.8,80.06
67,1,10,2021,25.5,25.45,73.95
68,1,10,2022,27.14,28.16,72.39
69,1,10,2023,27.97,26.14,72.92
70,1,10,2024,30.07,25.43,69.61
71,1,11,2018,19.45,17.73,80.97
72,1,11,2019,19.99,21.4,80.43
73,1,11,2020,25.36,24.4,74.5
74,1,11,2021,24.55,23.67,74.04
75,1,11,2022,28.7,31.04,72.39
76,1,11,2023,28.86,27.44,69.74
77,1,11,2024,28.53,25.18,70.59
78,1,12,2018,18.35,21.17,81.36
79,1,12,2019,23.14,24.24,76.67
80,1,12,2020,21.33,23.07,79.92
81,1,12,2021,25.75,29.15,75.49
82,1,12,2022,25.42,21.68,75.41
83,1,12,2023,24.74,22.07,74.99
84,1,12,2024,28.95,27.53,71.13
85,1,13,2018,16.78,17.16,82.14
86,1,13,2019,17.67,15.8,81.17
87,1,13,2020,18.8,17.88,81.86
88,1,13,2021,18.56,18.51,82.64
89,1,13,2022,24.12,20.29,76.26
90,1,13,2023,22.01,22.87,78.09
91,1,13,2024,25.74,27.86,74.06
92,1,14,2018,20.58,20.62,80.44
93,1,14,2019,23.42,24.7,75.29
94,1,14,2020,22.14,21.11,78.96
95,1,14,2021,23.45,21.9,77.02
96,1,14,2022,23.57,20.4,77.15
97,1,14,2023,22.96,22.54,77.94
98,1,14,2024,25.49,21.81,74.63
99,1,15,2018,20.73,22.19,77.78
100,1,15,2019,20.72,19.09,79.44
101,1,15,2020,19.51,20.48,80.71
102,1,15,2021,22.78,18.05,76.44
103,1,15,2022,21.94,25.25,78.79
104,1,15,2023,24.02,24.28,74.6
105,1,15,2024,26.75,27.46,73.07
106,1,16,2018,20.45,19.62,79.35
107,1,16,2019,20.08,23.52,79.64
108,1,16,2020,17.42,21.95,81.54
109,1,16,2021,20.13,23.03,78.86
110,1,16,2022,21.47,21.58,79.55
111,1,16,2023,25.56,19.11,73.03
112,1,16,2024,25.89,25.36,75.39
113,1,17,2018,17.35,17.9,83.83
114,1,17,2019,19.97,17.31,78.83
115,1,17,2020,24.28,22.14,74.96
116,1,17,2021,23.66,22.35,76.13
117,1,17,2022,26.6,31.3,72.61
118,1,17,2023,23.8,27.29,77.35
119,1,17,2024,28.72,27.82,71.11
120,1,18,2018,19.9,21.35,80.91
121,1,18,2019,25.03,26.52,74.32
122,1,18,2020,21.42,22.9,79.88
