posting_id,role_id,country_id,industry_id,posting_date,salary_usd_min,salary_usd_max,salary_usd_avg,is_remote,experience_years_req,posting_count
1,1,1,17,2018-01-11,74639.9,108601.86,85604.32,False,4,166
2,1,2,17,2018-12-22,63927.2,105185.8,83213.36,False,3,110
3,1,3,3,2018-04-06,53636.06,72815.73,61715.8,False,3,93
4,1,4,20,2018-02-25,50410.52,73216.36,61705.2,True,2,166
5,1,5,10,2018-02-21,68772.54,107415.71,79432.09,False,3,149
6,1,6,15,2018-09-25,59698.21,80985.76,68478.08,False,2,108
7,1,7,10,2018-02-01,45013.81,75301.45,56954.85,True,5,160
8,1,8,14,2018-10-04,58135.17,92673.63,71259.55,True,5,164
9,1,9,3,2018-12-14,56673.85,79639.84,65098.72,False,3,123
10,1,10,1,2018-09-23,62302.12,85886.97,74844.86,False,5,111
11,1,11,6,2018-08-27,83372.15,110048.52,97852.43,False,3,144
12,1,12,18,2018-04-07,58755.61,88998.8,73112.37,False,5,133
13,1,13,10,2018-02-26,59370.35,79565.0,69345.41,True,2,91
14,1,14,19,2018-06-17,55546.79,81867.6,70579.2,True,2,113
15,1,15,15,2018-03-07,65471.28,98282.07,81719.38,False,4,154
16,1,16,5,2018-05-26,57618.11,81170.24,71654.14,False,2,127
17,1,17,7,2018-02-24,52262.28,82356.73,60793.79,False,4,177
18,1,18,11,2018-02-12,59355.43,85457.37,68899.02,False,3,125
19,1,19,9,2018-11-24,54819.91,83507.79,68715.87,False,2,129
20,1,20,10,2018-03-21,45711.38,74769.85,55772.35,False,4,127
21,1,21,20,2018-12-21,13982.59,22359.98,16639.53,True,4,26
22,1,22,3,2018-01-03,26223.68,39126.27,30702.75,False,5,64
23,1,23,10,2018-06-07,16379.93,26870.88,21210.16,False,4,42
24,1,24,12,2018-09-10,16056.81,24129.24,20973.8,False,3,27
25,1,25,11,2018-06-21,16067.11,22523.44,18921.87,True,5,30
26,1,26,8,2018-11-27,8963.51,14869.19,10905.99,False,3,24
27,1,27,10,2018-10-13,9322.95,13927.93,10833.47,False,4,17
28,1,28,6,2018-09-08,10968.31,16279.28,13583.03,False,2,34
29,1,29,3,2018-03-13,15670.32,28306.38,20515.33,True,4,41
30,1,30,3,2018-12-23,12835.98,22449.31,16546.19,True,2,33
31,1,31,20,2018-01-13,13084.04,17257.58,15206.52,False,5,38
32,1,32,5,2018-01-08,12645.59,20369.49,15504.86,False,2,36
33,1,33,2,2018-03-11,19840.0,28920.24,22611.58,True,2,29
34,1,34,2,2018-07-09,21438.37,30279.09,24433.88,False,4,62
35,1,35,4,2018-02-28,12514.15,19178.13,14880.6,False,4,37
36,1,36,3,2018-12-17,7666.25,11954.12,9708.89,False,3,21
37,1,37,3,2018-08-17,7405.12,12057.04,9812.17,False,3,20
38,1,38,14,2018-07-25,11845.73,17549.41,13897.47,False,3,27
39,1,39,5,2018-01-25,27921.62,42980.26,34239.81,False,3,73
40,1,40,17,2018-09-24,25101.87,38519.49,31916.75,False,4,55
41,1,41,11,2018-04-22,19169.45,31773.21,24896.37,False,2,38
42,1,42,14,2018-06-24,23864.1,38360.25,29814.49,True,4,37
43,1,43,14,2018-10-02,34955.22,56885.53,42510.32,False,5,99
44,1,44,9,2018-12-17,31447.95,47689.24,40863.38,True,2,103
45,1,45,18,2018-01-21,33895.03,52711.21,44543.92,False,3,108
46,1,46,8,2018-04-17,26153.89,44124.5,32939.44,False,5,63
47,1,47,11,2018-03-01,19318.58,30395.29,24322.22,False,5,45
48,1,48,7,2018-03-20,33321.6,60214.71,44238.45,False,4,91
49,1,49,20,2018-10-13,57648.1,84162.69,65685.75,False,4,123
50,1,50,18,2018-10-21,50951.63,74414.16,60282.54,False,5,137
51,1,51,11,2018-12-07,9439.65,13680.27,11873.11,False,5,15
52,1,52,9,2018-12-02,7726.44,12837.23,10152.66,False,5,22
53,1,53,1,2018-03-03,5172.77,8060.22,6174.3,False,3,16
54,1,54,13,2018-04-07,19696.64,32901.96,26241.72,True,3,53
55,1,55,15,2018-03-20,15631.72,26376.46,19656.5,False,2,30
56,1,56,2,2018-03-28,8330.17,13137.26,9878.14,False,3,27
57,1,57,5,2018-03-16,43307.64,63964.29,52343.25,True,2,125
58,1,58,1,2018-05-26,57872.73,84064.59,69517.61,False,5,131
59,1,59,20,2018-03-09,5701.53,9760.64,7196.22,False,4,15
60,1,60,7,2018-12-28,9455.17,13067.75,10947.78,False,5,24
61,2,1,10,2018-12-22,115118.59,182201.74,134499.58,False,5,209
62,2,2,11,2018-04-15,84004.38,152449.5,111314.27,True,8,113
63,2,3,16,2018-05-07,74151.67,112607.27,98003.21,False,6,129
64,2,4,9,2018-07-22,65197.63,114635.02,85273.69,False,5,89
65,2,5,19,2018-12-14,95485.98,146649.55,121817.38,False,6,126
66,2,6,1,2018-10-01,91245.01,125535.21,108302.35,True,5,104
67,2,7,5,2018-08-13,69261.41,98630.25,83385.25,False,5,132
68,2,8,4,2018-09-23,109147.99,150324.28,126737.38,False,10,207
69,2,9,11,2018-05-11,88007.5,131531.4,103065.62,False,5,119
70,2,10,1,2018-10-05,85408.65,131926.08,101162.26,False,5,175
71,2,11,6,2018-02-17,120027.88,194518.84,155379.38,True,10,268
72,2,12,18,2018-12-24,96146.6,150331.72,117294.0,True,5,123
73,2,13,17,2018-09-15,70902.9,101124.64,85689.19,False,8,167
74,2,14,15,2018-06-12,99997.67,162109.9,117839.11,False,5,149
75,2,15,10,2018-11-28,90798.97,128249.74,104890.44,False,6,179
76,2,16,19,2018-07-22,79262.05,128088.73,97724.79,False,5,180
77,2,17,18,2018-01-06,79044.03,140266.22,103514.98,True,6,172
78,2,18,20,2018-01-17,84110.6,134691.78,99714.93,False,8,130
79,2,19,8,2018-05-01,99809.32,144169.9,123100.83,True,5,138
80,2,20,20,2018-01-14,62362.81,107573.99,81748.67,True,10,150
81,2,21,5,2018-04-09,19166.02,31573.17,25356.15,False,5,48
82,2,22,16,2018-03-16,39183.2,62171.09,45182.88,False,7,74
83,2,23,11,2018-08-15,23809.12,35448.62,27686.52,True,5,43
84,2,24,15,2018-03-26,21417.66,32874.2,26830.34,False,8,45
