trend_id,role_id,country_id,year,quarter,avg_salary_usd,salary_growth_pct,median_salary_usd
1,1,1,2018,,80127.09,,74144.26
2,1,1,2019,,84068.7,4.92,78124.67
3,1,1,2020,,87044.74,3.54,82994.29
4,1,1,2021,,94673.42,8.76,88949.96
5,1,1,2022,,99802.29,5.42,91973.54
6,1,1,2023,,104480.11,4.69,95322.76
7,1,1,2024,,111222.77,6.45,104389.67
8,1,2,2018,,75096.03,,70430.41
9,1,2,2019,,79592.06,5.99,76166.64
10,1,2,2020,,84222.38,5.82,79037.91
11,1,2,2021,,89977.76,6.83,84113.59
12,1,2,2022,,95864.96,6.54,88666.72
13,1,2,2023,,97839.82,2.06,93922.34
14,1,2,2024,,104972.74,7.29,98792.9
15,1,3,2018,,64408.38,,58863.11
16,1,3,2019,,65703.62,2.01,62044.81
17,1,3,2020,,67700.35,3.04,63614.53
18,1,3,2021,,74085.54,9.43,68705.14
19,1,3,2022,,81092.96,9.46,77984.87
20,1,3,2023,,87698.02,8.15,81754.36
21,1,3,2024,,91430.89,4.26,87677.28
22,1,4,2018,,63558.16,,60433.82
23,1,4,2019,,65273.01,2.7,62908.21
24,1,4,2020,,67219.77,2.98,61291.35
25,1,4,2021,,70357.46,4.67,67533.58
26,1,4,2022,,74672.51,6.13,71718.96
27,1,4,2023,,79817.15,6.89,73126.17
28,1,4,2024,,84629.05,6.03,80187.75
29,1,5,2018,,70656.27,,67572.68
30,1,5,2019,,73180.46,3.57,70095.72
31,1,5,2020,,75740.68,3.5,69856.51
32,1,5,2021,,82029.29,8.3,77231.7
33,1,5,2022,,87458.03,6.62,80892.0
34,1,5,2023,,94860.92,8.46,87919.08
35,1,5,2024,,99737.37,5.14,94675.17
36,1,6,2018,,77162.01,,74084.32
37,1,6,2019,,79380.51,2.88,74252.61
38,1,6,2020,,82614.77,4.07,76679.36
39,1,6,2021,,87903.39,6.4,81373.07
40,1,6,2022,,91424.58,4.01,83229.93
41,1,6,2023,,97877.55,7.06,89719.83
42,1,6,2024,,104432.49,6.7,100407.47
43,1,7,2018,,60054.67,,57924.63
44,1,7,2019,,63171.5,5.19,59377.35
45,1,7,2020,,65131.49,3.1,59627.99
46,1,7,2021,,68222.99,4.75,62490.5
47,1,7,2022,,71169.73,4.32,65666.36
48,1,7,2023,,76252.24,7.14,70637.21
49,1,7,2024,,82056.12,7.61,75131.97
50,1,8,2018,,82636.42,,76429.96
51,1,8,2019,,84736.52,2.54,77398.19
52,1,8,2020,,87365.48,3.1,84339.58
53,1,8,2021,,94757.63,8.46,90528.13
54,1,8,2022,,101329.91,6.94,95248.03
55,1,8,2023,,107495.45,6.08,102647.58
56,1,8,2024,,116820.77,8.68,108802.88
57,1,9,2018,,75716.19,,72386.06
58,1,9,2019,,79694.57,5.25,74324.14
59,1,9,2020,,81878.62,2.74,77373.41
60,1,9,2021,,89952.37,9.86,85967.42
61,1,9,2022,,96678.86,7.48,90569.92
